blackness,connectivity,box_density_above,box_density_below,median_width,left_white,right_white,left_contrast,right_contrast,local_density,grid_above_left,grid_above_center,grid_above_right,grid_top_left,grid_top_center,grid_top_right,grid_bot_left,grid_bot_center,grid_bot_right,grid_below_left,grid_below_center,grid_below_right,label
1.0,1.0,0.3333333333333333,0.0,3.0,219.17647058823528,221.16993464052288,141.8235294117647,143.8169934640523,0.29411764705882354,0.13970588235294118,0.10588235294117647,0.0661764705882353,0.30113636363636365,0.6,0.1875,0.2727272727272727,0.4909090909090909,0.1875,0.0,0.0,0.0,1
1.0,1.0,0.3333333333333333,0.0,3.0,219.17647058823528,221.16993464052288,141.8235294117647,143.8169934640523,0.29411764705882354,0.13970588235294118,0.10588235294117647,0.0661764705882353,0.30113636363636365,0.6,0.1875,0.2727272727272727,0.4909090909090909,0.1875,0.0,0.0,0.0,1
1.0,1.0,0.3333333333333333,0.0,3.0,219.17647058823528,221.16993464052288,141.8235294117647,143.8169934640523,0.29411764705882354,0.13970588235294118,0.10588235294117647,0.0661764705882353,0.30113636363636365,0.6,0.1875,0.2727272727272727,0.4909090909090909,0.1875,0.0,0.0,0.0,1
1.0,1.0,0.3333333333333333,0.0,3.0,219.17647058823528,221.16993464052288,141.8235294117647,143.8169934640523,0.29411764705882354,0.13970588235294118,0.10588235294117647,0.0661764705882353,0.30113636363636365,0.6,0.1875,0.2727272727272727,0.4909090909090909,0.1875,0.0,0.0,0.0,1
1.0,1.0,0.6666666666666666,0.0,3.0,166.75816993464053,191.26797385620912,103.24836601307192,127.7581699346405,0.30980392156862746,0.09558823529411764,0.5647058823529412,0.03676470588235294,0.17045454545454544,0.5636363636363636,0.3465909090909091,0.45454545454545453,0.44545454545454544,0.3409090909090909,0.0,0.07058823529411765,0.23529411764705882,0
1.0,1.0,0.6666666666666666,0.0,3.0,166.75816993464053,191.26797385620912,103.24836601307192,127.7581699346405,0.30980392156862746,0.09558823529411764,0.5647058823529412,0.03676470588235294,0.17045454545454544,0.5636363636363636,0.3465909090909091,0.45454545454545453,0.44545454545454544,0.3409090909090909,0.0,0.07058823529411765,0.23529411764705882,0
1.0,1.0,0.6666666666666666,0.0,3.0,166.75816993464053,191.26797385620912,103.24836601307192,127.7581699346405,0.30980392156862746,0.09558823529411764,0.5647058823529412,0.03676470588235294,0.17045454545454544,0.5636363636363636,0.3465909090909091,0.45454545454545453,0.44545454545454544,0.3409090909090909,0.0,0.07058823529411765,0.23529411764705882,0
1.0,1.0,0.6666666666666666,0.0,3.0,166.75816993464053,191.26797385620912,103.24836601307192,127.7581699346405,0.30980392156862746,0.09558823529411764,0.5647058823529412,0.03676470588235294,0.17045454545454544,0.5636363636363636,0.3465909090909091,0.45454545454545453,0.44545454545454544,0.3409090909090909,0.0,0.07058823529411765,0.23529411764705882,0
1.0,1.0,0.3333333333333333,0.0,3.0,222.56862745098042,222.3986928104575,145.00000000000003,144.83006535947712,0.23607843137254902,0.0,0.0,0.08823529411764706,0.23295454545454544,0.6,0.17613636363636365,0.3125,0.43636363636363634,0.11363636363636363,0.23529411764705882,0.07058823529411765,0.0,1
1.0,1.0,0.3333333333333333,0.0,3.0,222.56862745098042,222.3986928104575,145.00000000000003,144.83006535947712,0.23607843137254902,0.0,0.0,0.08823529411764706,0.23295454545454544,0.6,0.17613636363636365,0.3125,0.43636363636363634,0.11363636363636363,0.23529411764705882,0.07058823529411765,0.0,1
1.0,1.0,0.3333333333333333,0.0,3.0,222.56862745098042,222.3986928104575,145.00000000000003,144.83006535947712,0.23607843137254902,0.0,0.0,0.08823529411764706,0.23295454545454544,0.6,0.17613636363636365,0.3125,0.43636363636363634,0.11363636363636363,0.23529411764705882,0.07058823529411765,0.0,1
1.0,1.0,0.3333333333333333,0.0,3.0,222.56862745098042,222.3986928104575,145.00000000000003,144.83006535947712,0.23607843137254902,0.0,0.0,0.08823529411764706,0.23295454545454544,0.6,0.17613636363636365,0.3125,0.43636363636363634,0.11363636363636363,0.23529411764705882,0.07058823529411765,0.0,1
0.8235294117647058,0.7058823529411765,0.16666666666666666,0.5,2.0,209.23529411764707,160.9738562091503,109.39215686274511,61.13071895424835,0.28862745098039216,0.08823529411764706,0.29411764705882354,0.36764705882352944,0.17613636363636365,0.36363636363636365,0.5284090909090909,0.11363636363636363,0.4090909090909091,0.32954545454545453,0.0,0.058823529411764705,0.0,0
0.8235294117647058,0.7058823529411765,0.16666666666666666,0.5,2.0,209.23529411764707,160.9738562091503,109.39215686274511,61.13071895424835,0.28862745098039216,0.08823529411764706,0.29411764705882354,0.36764705882352944,0.17613636363636365,0.36363636363636365,0.5284090909090909,0.11363636363636363,0.4090909090909091,0.32954545454545453,0.0,0.058823529411764705,0.0,0
0.8235294117647058,0.7058823529411765,0.16666666666666666,0.5,2.0,209.23529411764707,160.9738562091503,109.39215686274511,61.13071895424835,0.28862745098039216,0.08823529411764706,0.29411764705882354,0.36764705882352944,0.17613636363636365,0.36363636363636365,0.5284090909090909,0.11363636363636363,0.4090909090909091,0.32954545454545453,0.0,0.058823529411764705,0.0,0
0.8529411764705882,0.7352941176470589,0.16666666666666666,1.0,2.0,215.91503267973857,173.718954248366,144.97385620915034,102.77777777777777,0.24784313725490195,0.0,0.0,0.0,0.2556818181818182,0.39090909090909093,0.5340909090909091,0.11363636363636363,0.4727272727272727,0.13636363636363635,0.0,0.43529411764705883,0.29411764705882354,0
0.8529411764705882,0.7352941176470589,0.16666666666666666,1.0,2.0,215.91503267973857,173.718954248366,144.97385620915034,102.77777777777777,0.24784313725490195,0.0,0.0,0.0,0.2556818181818182,0.39090909090909093,0.5340909090909091,0.11363636363636363,0.4727272727272727,0.13636363636363635,0.0,0.43529411764705883,0.29411764705882354,0
0.8529411764705882,0.7352941176470589,0.16666666666666666,1.0,2.0,215.91503267973857,173.718954248366,144.97385620915034,102.77777777777777,0.24784313725490195,0.0,0.0,0.0,0.2556818181818182,0.39090909090909093,0.5340909090909091,0.11363636363636363,0.4727272727272727,0.13636363636363635,0.0,0.43529411764705883,0.29411764705882354,0
0.8529411764705882,0.7352941176470589,0.16666666666666666,1.0,2.0,215.91503267973857,173.718954248366,144.97385620915034,102.77777777777777,0.24784313725490195,0.0,0.0,0.0,0.2556818181818182,0.39090909090909093,0.5340909090909091,0.11363636363636363,0.4727272727272727,0.13636363636363635,0.0,0.43529411764705883,0.29411764705882354,0
0.8529411764705882,0.7352941176470589,0.16666666666666666,1.0,2.0,215.91503267973857,173.718954248366,144.97385620915034,102.77777777777777,0.24784313725490195,0.0,0.0,0.0,0.2556818181818182,0.39090909090909093,0.5340909090909091,0.11363636363636363,0.4727272727272727,0.13636363636363635,0.0,0.43529411764705883,0.29411764705882354,0
0.8823529411764706,0.8529411764705882,0.75,0.0,2.0,167.81045751633985,215.91503267973857,99.92810457516339,148.0326797385621,0.26666666666666666,0.17647058823529413,0.25882352941176473,0.0,0.16477272727272727,0.5,0.17045454545454544,0.4772727272727273,0.38181818181818183,0.1534090909090909,0.07352941176470588,0.10588235294117647,0.11764705882352941,0
0.8823529411764706,0.8529411764705882,0.75,0.0,2.0,167.81045751633985,215.91503267973857,99.92810457516339,148.0326797385621,0.26666666666666666,0.17647058823529413,0.25882352941176473,0.0,0.16477272727272727,0.5,0.17045454545454544,0.4772727272727273,0.38181818181818183,0.1534090909090909,0.07352941176470588,0.10588235294117647,0.11764705882352941,0
0.8823529411764706,0.8529411764705882,0.75,0.0,2.0,167.81045751633985,215.91503267973857,99.92810457516339,148.0326797385621,0.26666666666666666,0.17647058823529413,0.25882352941176473,0.0,0.16477272727272727,0.5,0.17045454545454544,0.4772727272727273,0.38181818181818183,0.1534090909090909,0.07352941176470588,0.10588235294117647,0.11764705882352941,0
0.8823529411764706,0.8529411764705882,0.75,0.0,2.0,167.81045751633985,215.91503267973857,99.92810457516339,148.0326797385621,0.26666666666666666,0.17647058823529413,0.25882352941176473,0.0,0.16477272727272727,0.5,0.17045454545454544,0.4772727272727273,0.38181818181818183,0.1534090909090909,0.07352941176470588,0.10588235294117647,0.11764705882352941,0
0.9117647058823529,0.9705882352941176,0.16666666666666666,0.0,2.0,177.47058823529412,206.54901960784318,83.56862745098039,112.64705882352945,0.26823529411764707,0.0,0.0,0.0,0.18181818181818182,0.509090909090909,0.2727272727272727,0.4772727272727273,0.42727272727272725,0.23295454545454544,0.0661764705882353,0.0,0.0,0
0.9117647058823529,0.9705882352941176,0.16666666666666666,0.0,2.0,177.47058823529412,206.54901960784318,83.56862745098039,112.64705882352945,0.26823529411764707,0.0,0.0,0.0,0.18181818181818182,0.509090909090909,0.2727272727272727,0.4772727272727273,0.42727272727272725,0.23295454545454544,0.0661764705882353,0.0,0.0,0
0.9117647058823529,0.9705882352941176,0.16666666666666666,0.0,2.0,177.47058823529412,206.54901960784318,83.56862745098039,112.64705882352945,0.26823529411764707,0.0,0.0,0.0,0.18181818181818182,0.509090909090909,0.2727272727272727,0.4772727272727273,0.42727272727272725,0.23295454545454544,0.0661764705882353,0.0,0.0,0
0.8235294117647058,0.8235294117647058,0.16666666666666666,0.0,3.5,183.37908496732027,202.7843137254902,73.73202614379086,93.13725490196079,0.2627450980392157,0.0,0.0,0.0,0.14204545454545456,0.42727272727272725,0.3352272727272727,0.4318181818181818,0.4090909090909091,0.1590909090909091,0.0661764705882353,0.11764705882352941,0.1323529411764706,0
0.8235294117647058,0.8235294117647058,0.16666666666666666,0.0,3.5,183.37908496732027,202.7843137254902,73.73202614379086,93.13725490196079,0.2627450980392157,0.0,0.0,0.0,0.14204545454545456,0.42727272727272725,0.3352272727272727,0.4318181818181818,0.4090909090909091,0.1590909090909091,0.0661764705882353,0.11764705882352941,0.1323529411764706,0
0.8235294117647058,0.8235294117647058,0.16666666666666666,0.0,3.5,183.37908496732027,202.7843137254902,73.73202614379086,93.13725490196079,0.2627450980392157,0.0,0.0,0.0,0.14204545454545456,0.42727272727272725,0.3352272727272727,0.4318181818181818,0.4090909090909091,0.1590909090909091,0.0661764705882353,0.11764705882352941,0.1323529411764706,0
0.8235294117647058,0.8235294117647058,0.16666666666666666,0.0,3.5,183.37908496732027,202.7843137254902,73.73202614379086,93.13725490196079,0.2627450980392157,0.0,0.0,0.0,0.14204545454545456,0.42727272727272725,0.3352272727272727,0.4318181818181818,0.4090909090909091,0.1590909090909091,0.0661764705882353,0.11764705882352941,0.1323529411764706,0
0.9117647058823529,0.7941176470588235,0.6388888888888888,0.3888888888888889,6.0,143.16339869281046,199.13071895424835,68.63398692810458,124.60130718954247,0.3458823529411765,0.029411764705882353,0.08235294117647059,0.0,0.42613636363636365,0.6636363636363637,0.3409090909090909,0.38636363636363635,0.4909090909090909,0.14772727272727273,0.27941176470588236,0.10588235294117647,0.20588235294117646,0
0.9117647058823529,0.7941176470588235,0.6388888888888888,0.3888888888888889,6.0,143.16339869281046,199.13071895424835,68.63398692810458,124.60130718954247,0.3458823529411765,0.029411764705882353,0.08235294117647059,0.0,0.42613636363636365,0.6636363636363637,0.3409090909090909,0.38636363636363635,0.4909090909090909,0.14772727272727273,0.27941176470588236,0.10588235294117647,0.20588235294117646,0
