blackness,connectivity,ext_above,ext_below,max_width,median_width,pct_wide,left_white,right_white,left_contrast,right_contrast,local_density,label
0.9032258064516129,0.7741935483870968,0,0,5,4.0,0.8,217.84027777777774,121.33333333333333,59.3819444444444,-37.125000000000014,0.2107750472589792,0
0.8387096774193549,0.8064516129032258,0,0,5,5.0,1.0,198.93055555555554,120.0,29.888888888888886,-49.04166666666666,0.20699432892249528,0
0.9354838709677419,1.0,0,0,5,5.0,1.0,176.52777777777774,145.55555555555554,4.423611111111086,-26.548611111111114,0.20132325141776938,0
1.0,1.0,0,0,5,4.5,1.0,164.39583333333334,183.93452380952382,20.875,40.41369047619048,0.19754253308128544,0
1.0,1.0,0,0,5,4.0,1.0,162.70138888888889,213.19841269841268,51.513888888888886,102.01091269841268,0.19754253308128544,0
0.967741935483871,1.0,0,0,5,4.0,0.875,166.5347222222222,227.48313492063494,57.24305555555553,118.19146825396827,0.19754253308128544,0
0.5161290322580645,0.7741935483870968,0,0,11,11.0,1.0,204.95833333333334,150.45138888888889,-2.979166666666657,-57.486111111111114,0.2523629489603025,0
0.8387096774193549,0.7741935483870968,0,0,11,6.5,0.5,205.64583333333334,152.35416666666666,23.291666666666686,-30.0,0.2542533081285444,0
0.8387096774193549,0.7741935483870968,0,0,11,1.0,0.2857142857142857,206.85416666666666,152.25,98.77083333333333,44.16666666666667,0.2580340264650284,0
0.6129032258064516,0.7741935483870968,2,0,11,9.0,1.0,207.5763888888889,152.47916666666666,61.65972222222226,6.5625,0.2618147448015123,0
0.967741935483871,1.032258064516129,0,0,0,0,0,231.72222222222226,152.58333333333334,1.6388888888889142,-77.5,0.2542533081285444,0
1.032258064516129,1.032258064516129,0,0,6,1.5,0.375,230.91666666666666,153.4652777777778,92.83333333333331,15.381944444444457,0.2551984877126654,0
1.032258064516129,1.032258064516129,0,0,7,7.0,0.8,231.1875,154.65972222222223,100.14583333333334,23.61805555555557,0.2570888468809074,0
0.7096774193548387,1.032258064516129,0,0,8,8.0,1.0,230.83333333333334,155.8263888888889,79.83333333333334,4.826388888888914,0.2580340264650284,0
0.8064516129032258,0.8064516129032258,0,0,8,8.0,1.0,190.875,180.61805555555554,4.395833333333343,-5.861111111111114,0.2523629489603025,0
0.8064516129032258,0.7741935483870968,3,0,7,6.0,0.5714285714285714,190.0347222222222,184.18055555555554,67.4722222222222,61.61805555555554,0.2684310018903592,0
0.7741935483870968,0.7741935483870968,3,0,7,6.0,0.8,191.14583333333334,185.2222222222222,47.541666666666686,41.61805555555554,0.2835538752362949,0
1.032258064516129,1.032258064516129,0,8,11,9.5,1.0,157.1875,172.81944444444446,7.145833333333343,22.7777777777778,0.3487712665406427,0
1.032258064516129,1.032258064516129,0,7,10,9.5,1.0,149.04166666666666,181.75,41.97916666666666,74.6875,0.3544423440453686,0
1.032258064516129,1.032258064516129,0,6,10,1.0,0.2222222222222222,146.13194444444443,186.00694444444443,83.36111111111109,123.23611111111109,0.3591682419659735,0
0.5161290322580645,1.032258064516129,0,0,11,9.5,1.0,147.89583333333334,188.2986111111111,-12.25,28.152777777777743,0.3638941398865784,0
0.5483870967741935,1.0,0,0,0,0,0,229.23611111111111,201.0902777777778,0.027777777777771462,-28.118055555555543,0.11625708884688091,0
1.0,1.0,0,0,3,3.0,0.0,229.9027777777778,225.83333333333334,33.7152777777778,29.645833333333343,0.11814744801512288,0
1.0,1.0,0,0,3,2.0,0.0,231.625,228.27777777777774,136.41666666666669,133.0694444444444,0.12003780718336483,0
1.0,1.0,0,0,3,2.0,0.0,231.29861111111111,224.07638888888889,77.04861111111111,69.82638888888889,0.11909262759924386,0
0.8387096774193549,0.7096774193548387,0,5,11,11.0,0.6666666666666666,157.47916666666666,182.8080673758865,64.14583333333333,89.47473404255318,0.3553875236294896,0
0.6451612903225806,0.7096774193548387,0,0,11,11.0,1.0,155.7847222222222,183.26640070921985,3.180555555555543,30.662234042553195,0.3620037807183365,0
